TEAM_NAME,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors_eFG%,Offense Four Factors_TOV%,Offense Four Factors_ORB%,Offense Four Factors_FT/FGA,Defense Four Factors_eFG%,Defense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_FT/FGA,Is_Playoff,Season_Year,Target_Top4,Target_Top2,Target_Champ,Has_Top5_MVP,All_NBA_Count,Conference,Age_Diff,Age_Rank,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,W_Rank,MOV_Rank,SRS_Rank,ORtg_Rank,NRtg_Rank,TS%_Rank,Post_ORtg_Rank,Post_NRtg_Rank,Post_TS_PCT_Rank,Team_3PM_per100_Rank,Team_AST_per100_Rank,Opp_TOV_forced_Rank,Clutch_Win_PCT_Rank,Post_AllStar_Win_PCT_Rank,DRtg_Rank,Post_DRtg_Rank,Team_TOV_per100_Rank,Opp_FG_PCT_Rank,Opp_FG3_PCT_Rank
Denver Nuggets,27.9,40.0,42.0,34,48,-2.46,0.64,-1.83,103.7,106.3,-2.6,92.6,0.286,0.21,0.511,0.47,12.8,28.3,0.211,0.476,12.1,71.8,0.223,0,2000,0,0,0,0,0,West,0.8879999999999981,7.0,98.7,103.3,-4.7,0.499,6.6,25.4,14.7,0.446,0.356,13.9,0.592,0.419,0.0,19.0,21.0,19.0,12.0,21.0,19.0,21.0,21.0,26.0,4.0,5.0,27.0,7.0,20.0,26.0,20.0,4.0,18.0,17.0
LA Clippers,24.3,31.0,51.0,32,50,-2.89,0.66,-2.23,101.3,104.5,-3.2,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,0.466,12.0,71.1,0.217,0,2000,0,0,0,0,0,West,4.487999999999996,28.0,,,,,,,,,,,,,,22.0,22.0,21.0,18.0,22.0,16.0,,,,,,,,,19.0,,,,
Cleveland Cavaliers,26.9,30.0,52.0,28,54,-4.24,-0.23,-4.48,100.3,104.9,-4.6,91.2,0.312,0.101,0.509,0.459,15.4,29.7,0.239,0.477,14.1,71.1,0.248,0,2000,0,0,0,0,0,East,1.887999999999998,18.0,97.9,103.9,-6.0,0.51,2.9,22.4,17.7,0.445,0.365,16.1,0.465,0.286,0.0,23.0,23.0,23.0,22.0,23.0,22.0,25.0,23.0,20.0,28.0,18.0,16.0,19.0,24.0,22.0,22.0,26.0,17.0,23.0
New Jersey Nets,27.5,26.0,56.0,26,56,-5.05,-0.25,-5.3,100.0,105.5,-5.5,91.8,0.328,0.165,0.504,0.452,13.9,25.7,0.249,0.488,14.9,70.0,0.258,0,2000,0,0,0,0,0,East,1.2879999999999967,12.0,99.5,106.3,-6.8,0.52,4.7,20.9,15.7,0.455,0.36,17.0,0.375,0.29,0.0,24.0,24.0,25.0,24.0,24.0,25.0,19.0,24.0,15.0,17.0,25.0,7.0,23.0,23.0,23.0,26.0,11.0,23.0,19.0
Atlanta Hawks,26.1,25.0,57.0,26,56,-5.21,-0.34,-5.55,98.7,104.3,-5.6,91.9,0.272,0.14,0.5,0.456,15.5,28.9,0.206,0.472,13.8,70.8,0.249,0,2000,0,0,0,0,0,East,2.687999999999996,24.0,98.5,106.0,-7.5,0.506,4.3,20.3,17.8,0.442,0.367,15.8,0.383,0.273,0.0,25.0,25.0,26.0,27.0,25.0,26.0,24.0,25.0,24.0,20.0,28.0,22.0,22.0,25.0,18.0,25.0,27.0,16.0,24.0
Vancouver Grizzlies,26.2,23.0,59.0,25,57,-5.73,0.79,-4.94,99.6,105.8,-6.2,91.7,0.289,0.145,0.51,0.464,14.9,26.1,0.223,0.491,13.8,69.8,0.194,0,2000,0,0,0,0,0,West,2.5879999999999974,23.0,98.6,104.3,-5.7,0.515,4.2,24.8,16.8,0.463,0.362,15.9,0.35,0.303,0.0,26.0,26.0,24.0,26.0,26.0,20.0,22.0,22.0,17.0,23.0,7.0,20.0,25.0,22.0,25.0,23.0,21.0,25.0,21.0
Washington Wizards,27.0,19.0,63.0,23,59,-6.67,-0.08,-6.75,100.6,107.8,-7.2,92.7,0.348,0.131,0.514,0.46,15.7,29.7,0.264,0.503,14.1,71.8,0.236,0,2000,0,0,0,0,0,East,1.7879999999999967,17.0,100.8,108.6,-7.8,0.521,3.6,21.4,18.1,0.47,0.396,16.0,0.333,0.212,0.0,27.0,27.0,27.0,21.0,27.0,16.0,17.0,26.0,13.0,25.0,23.0,18.0,27.0,27.0,29.0,28.0,28.0,26.0,28.0
Golden State Warriors,26.6,17.0,65.0,17,65,-9.05,0.94,-8.11,97.8,107.4,-9.6,94.1,0.282,0.134,0.47,0.429,13.9,33.3,0.199,0.504,15.0,69.7,0.227,0,2000,0,0,0,0,0,West,2.187999999999996,21.0,91.7,107.9,-16.2,0.443,3.6,22.7,16.5,0.472,0.379,17.1,0.342,0.059,0.0,28.0,28.0,28.0,28.0,28.0,29.0,28.0,28.0,28.0,25.0,17.0,6.0,26.0,28.0,28.0,27.0,19.0,27.0,27.0
Chicago Bulls,23.2,15.0,67.0,16,66,-9.1,0.01,-9.09,97.2,107.3,-10.1,89.3,0.298,0.148,0.495,0.45,15.1,26.6,0.22,0.499,14.3,70.3,0.254,0,2000,0,0,0,0,0,East,5.587999999999997,29.0,96.1,104.5,-8.4,0.503,4.4,24.2,17.3,0.472,0.356,16.3,0.277,0.265,0.0,29.0,29.0,29.0,29.0,29.0,28.0,27.0,27.0,25.0,19.0,10.0,12.0,28.0,26.0,27.0,24.0,24.0,27.0,17.0
Sacramento Kings,27.0,61.0,21.0,61,21,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.308,0.166,0.539,0.497,12.4,27.9,0.231,0.467,13.6,71.7,0.185,1,2001,0,0,0,1,1,West,1.7879999999999967,16.0,106.8,98.9,7.9,0.541,5.4,24.6,14.2,0.44,0.337,15.7,0.742,0.727,1.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,2.0,7.0,14.0,7.0,14.0,1.0,2.0,6.0,6.0,3.0,9.0,3.0
